order_id,order_date,ship_date,city,channel,customer_tier,quantity,unit_price,discount_pct,commission_paid,revenue
102761,2024/07/12,2024-07-21,Dammam,online,silver,4,15.62,,1.28,42.59
100407,12/06/2024,2024-12-10,riyadh,phone,bronze,20,59.47,,25.48,849.2
101586,2025/03/11,2025-03-15,tabuk,online,bronze,20,35.51,0.063,20.1,669.96
103621,2025-01-25,2025-01-30,Dammam,online,silver,34,126.18,0.222,100.13,3337.61
101076,02/01/2024,2024-02-07,Riyadh,online,bronze,40,36.09,0.132,37.43,1247.82
102745,14 Jan 2025,2025-01-17,Jeddah,store,bronze,31,63.55,0.163,49.31,1643.81
102292,2024-04-27,2024-05-06,Dammam,online,bronze,34,54.92,,35.45,1181.53
100189,2025/02/25,2025-03-09,Dammam,store,bronze,27,71.66,,41.39,1379.82
100670,01/02/2025,2025-01-05,Jeddah,store,bronze,8,16.15,0.191,3.0,100.09
104776,2025-01-03,2025-01-07,riyadh,store,silver,20,51.12,0.095,27.85,928.23
101340,2025-01-27,2025-02-06,Jeddah,online,gold,20,36.82,0.127,19.11,637.14
103309,28 Feb 2025,2025-03-01,Jeddah,online,bronze,22,158.67,0.025,103.93,3464.41
103675,2025-04-01,2025-04-15,abha,store,bronze,11,101.11,0.303,22.32,743.98
101287,12/13/2024,2024-12-20,Jeddah,phone,silver,1,74.9,,1.77,58.96
102529,2024-08-18,2024-08-21,Abha,phone,silver,21,61.52,,30.6,1019.95
103314,2025-04-28,2025-05-09,DAMMAM,online,bronze,6,27.51,0.208,3.82,127.5
102017,28 Jan 2024,2024-02-03,Riyadh ,online,bronze,21,33.76,0.071,20.14,671.36
103546,8 Sep 2024,2024-09-20,Jeddah,online,bronze,1,13.17,0.147,0.35,11.71
103631,05/04/2024,2024-05-06,Riyadh,store,bronze,6,16.97,0.098,2.8,93.43
101178,01/03/2024,2024-01-04,Jeddah,store,bronze,28,31.33,0.024,25.01,833.76
104177,30 May 2024,2024-06-04,Dammam,phone,silver,20,97.69,,46.93,1564.3
101978,15 Apr 2024,2024-04-20,Tabuk,store,gold,34,45.07,,34.06,1135.43
101459,2024/03/01,2024-03-13,Tabuk,online,bronze,25,81.9,0.045,58.95,1965.07
100739,2025/03/17,2025-03-20,Jeddah,store,bronze,7,65.74,0.197,10.97,365.77
100194,01/19/2024,2024-01-28,Abha,online,bronze,36,52.67,0.246,43.04,1434.58
103712,02/17/2024,2024-02-21,Dammam,store,silver,26,38.55,0.07,28.67,955.81
102206,05/25/2025,2025-05-27,JEDDAH,online,bronze,25,23.58,0.007,16.85,561.79
102251,2024-07-22,2024-08-05,Jeddah,phone,bronze,12,57.97,,18.23,607.68
101768,22 Feb 2024,2024-02-28,Riyadh,store,bronze,10,29.42,,5.89,196.23
103291,20 Nov 2024,2024-12-01, Jeddah,online,bronze,2,25.16,0.172,1.26,41.96
104319,9 Jun 2025,2025-06-18,Abha,online,silver,13,43.69,0.162,14.02,467.28
101786,10 Jun 2025,2025-06-11,abha,store,bronze,19,58.2,0.153,28.0,933.33
104581,23 Feb 2025,2025-03-04,DAMMAM,store,bronze,12,26.68,0.136,8.44,281.34
102912,2024/06/06,2024-06-16,Riyadh,phone,bronze,32,27.01,,21.82,727.38
100957,09/09/2024,2024-09-20,DAMMAM,online,bronze,10,27.0,0.213,6.45,215.03
104346,2024-05-06,2024-05-07,TABUK ,online,bronze,33,20.13,0.212,15.54,518.1
102275,2024-10-03,2024-10-09,abha,online,silver,14,7.97,0.103,2.96,98.57
100050,2024/07/23,2024-07-26,Riyadh,store,gold,7,34.85,0.119,6.39,213.09
103498,2024-02-06,2024-02-20,dammam ,store,gold,38,54.47,0.269,45.92,1530.6
100230,2025-03-01,2025-03-03,riyadh,online,bronze,31,49.87,0.089,42.39,1412.88
101031,11/18/2024,2024-12-01, Jeddah,phone,silver,25,18.38,,8.14,271.36
100216,01/02/2024,2024-01-14,Dammam,online,silver,38,18.03,0.271,15.23,507.57
102101,2024-01-31,2024-02-13,DAMMAM,phone,silver,10,25.69,,5.52,183.95
101121,05/14/2024,2024-05-17,Dammam,online,bronze,14,44.2,0.161,15.33,511.06
100591,2025/04/25,2025-05-04,Tabuk,online,silver,33,37.76,,24.47,815.77
101971,3 May 2025,2025-05-10,Riyadh ,phone,bronze,23,10.88,,6.61,220.31
100944,23 Apr 2024,2024-04-29,Jeddah,store,bronze,3,32.07,,1.89,63.11
103207,2024-02-06,2024-02-20,Riyadh ,store,gold,18,24.12,,10.0,333.17
104313,3 Oct 2024,2024-10-14,Riyadh,online,gold,40,47.25,0.251,42.71,1423.76
104404,2025-05-09,2025-05-15,Riyadh,store,bronze,17,29.47,0.118,13.08,436.06
104733,2024/08/11,2024-08-18,Jeddah,phone,silver,24,59.15,,32.26,1075.3
103672,2024/11/23,2024-12-01,Dammam,online,bronze,2,26.74,0.063,1.54,51.31
102137,2025-06-17,2025-06-29,Riyadh,online,silver,40,37.96,0.139,40.03,1334.37
100580,2024/12/18,2024-12-26,Jeddah,store,silver,20,42.96,0.123,22.14,737.89
103688,2024-04-14,2024-04-15,Tabuk,online,silver,26,30.77,0.129,21.35,711.78
102998,2024-08-27,2024-09-07,riyadh,online,bronze,13,33.37,0.065,11.91,396.9
100518,04/20/2024,2024-04-30,Dammam,online,bronze,4,82.31,,5.97,199.11
104705,2024-02-09,2024-02-13,riyadh,store,silver,32,208.35,0.119,176.82,5893.94
104796,2024/10/01,2024-10-14,Riyadh,store,silver,22,56.75,0.19,30.45,1015.0
101248,2024-01-18,2024-01-24,Riyadh,store,bronze,33,45.0,0.197,36.06,1201.91
104469,2025/02/05,2025-02-12,Tabuk,store,silver,5,61.6,0.102,8.16,271.9
100715,08/16/2024,2024-08-23,Abha,online,bronze,12,24.52,0.142,7.73,257.77
102295,3 Feb 2025,2025-02-07,Riyadh,phone,silver,37,46.08,,42.77,1425.79
100395,2024-01-30,2024-02-11,Riyadh,online,silver,20,20.86,,9.18,306.09
104185,05/16/2025,2025-05-23,Tabuk,online,bronze,13,34.81,0.157,11.77,392.23
104518,03/05/2024,2024-03-16,Riyadh ,online,silver,30,10.63,0.163,7.85,261.68
100426,2024-06-21,2024-06-28,Abha,online,silver,13,23.08,0.222,6.92,230.77
101400,08/26/2024,2024-09-03,Jeddah,online,bronze,38,15.07,0.176,14.15,471.74
103616,2025-03-31,2025-04-06,Dammam,phone,bronze,32,32.94,,29.9,996.72
102978,2024-07-14,2024-07-22,Dammam,phone,bronze,23,64.76,,44.29,1476.35
102608,12/18/2024,2024-12-30,Riyadh,online,bronze,25,10.54,0.181,6.36,211.96
100688,08/28/2024,2024-08-31,Tabuk,online,bronze,39,50.47,0.214,45.56,1518.59
102179,08/26/2024,2024-09-06,Riyadh,online,gold,34,25.32,0.173,20.99,699.73
101677,2024/12/04,2024-12-13,DAMMAM,online,silver,5,27.37,0.114,3.59,119.78
104771,2024-01-12,2024-01-13,dammam ,online,silver,15,59.13,0.153,21.62,720.53
103635,2025-01-11,2025-01-13,Jeddah,online,bronze,22,53.79,,24.12,804.14
102057,17 Jan 2025,2025-01-29,tabuk,store,bronze,25,63.92,,32.05,1068.34
101378,5 May 2025,2025-05-13,Abha,phone,silver,10,53.99,,13.5,449.96
101896,01/23/2025,2025-01-30,Riyadh,store,bronze,9,57.6,0.138,13.4,446.58
101974,2024-10-20,2024-10-24,Jeddah,online,silver,7,14.18,,2.62,87.39
101001,28 Dec 2024,2024-12-31,Riyadh,online,bronze,38,42.23,0.143,41.03,1367.67
102320,2024/07/29,2024-07-31,Tabuk,online,bronze,13,26.34,0.212,8.16,271.97
100125,16 Apr 2025,2025-04-23,Riyadh,online,bronze,36,16.47,0.035,17.5,583.27
102410,7 Feb 2024,2024-02-16,Tabuk,store,bronze,22,95.04,0.047,59.1,1969.98
104791,1 Dec 2024,2024-12-03,Jeddah,online,bronze,28,72.78,0.104,56.49,1882.87
100536,10 Mar 2025,2025-03-21,Riyadh,store,gold,37,9.24,0.149,8.58,285.97
102186,2024-10-29,2024-11-02,riyadh,store,silver,12,20.85,0.144,6.4,213.29
100735,2024-07-17,2024-07-23,Riyadh,phone,silver,31,162.33,,138.07,4602.46
100793,2024/08/28,2024-09-02,Riyadh,phone,gold,4,37.55,,3.58,119.23
101470,03/21/2025,2025-03-23,Riyadh,store,gold,1,15.95,,0.27,9.16
100957,09/09/2024,2024-09-20,DAMMAM,online,bronze,10,27.0,0.213,6.45,215.03
100388,2025/01/07,2025-01-14,tabuk,online,bronze,10,105.14,0.017,31.62,1053.89
100357,2024/10/23,2024-11-04,Dammam,phone,silver,23,27.28,,17.97,599.03
103852,25 Feb 2024,2024-02-28,Riyadh,online,gold,35,26.66,0.151,23.29,776.47
102418,11/20/2024,2024-11-21,Jeddah,phone,gold,40,53.61,,35.54,1184.78
101415,2025-04-25,2025-05-09,Riyadh,store,bronze,20,97.55,0.101,52.33,1744.29
104235,10/06/2024,2024-10-11,Riyadh,online,bronze,36,43.13,,37.69,1256.34
101901,02/01/2024,2024-02-10,Jeddah,store,gold,22,23.45,0.14,13.29,443.03
102882,2024-08-01,2024-08-02,Riyadh ,online,bronze,21,110.52,0.064,64.39,2146.41
101105,05/06/2025,2025-05-14,Riyadh,online,bronze,32,26.46,0.241,20.01,667.12
104172,15 Dec 2024,2024-12-16,Dammam,store,silver,33,78.17,0.111,65.97,2198.89
104751,2025-04-16,2025-04-26,riyadh,phone,bronze,9,237.73,,56.71,1890.2
102701,21 Jul 2024,2024-08-03,Dammam,store,silver,25,21.14,0.114,14.45,481.83
101674,2025/02/03,2025-02-16,Riyadh,store,gold,8,15.45,,2.11,70.42
100139,13 Mar 2024,2024-03-15,Abha,store,gold,24,6.57,0.186,3.92,130.55
103018,06/19/2024,2024-06-25,Riyadh,online,bronze,32,42.26,0.133,34.55,1151.79
102098,2024/11/07,2024-11-08,Jeddah,online,gold,27,25.79,0.156,17.7,589.96
100521,13 Jun 2024,2024-06-26,Abha,store,bronze,16,12.24,0.022,5.71,190.41
103850,2024-07-08,2024-07-18,Riyadh,online,bronze,30,23.1,0.23,15.76,525.43
102541,28 Mar 2024,2024-04-06,Jeddah,online,silver,14,46.6,0.092,17.45,581.53
102574,2025/01/24,2025-01-27,Abha,online,gold,26,32.36,0.163,21.24,707.86
102850,2024-04-25,2024-05-05,Jeddah,store,silver,36,199.02,0.133,193.45,6448.21
101839,2025-06-01,2025-06-08,Dammam,store,silver,18,30.34,,12.07,402.39
104052,15 Aug 2024,2024-08-28,Dammam,store,bronze,2,56.39,0.056,3.05,101.63
102713,2024/01/17,2024-01-27,riyadh,online,silver,29,48.49,0.161,36.09,1202.96
101776,2024-12-25,2024-12-26,Jeddah,online,silver,29,77.12,0.069,61.57,2052.24
103325,2024/04/12,2024-04-13,Dammam,online,bronze,17,26.9,0.224,10.53,351.06
102846,7 Oct 2024,2024-10-08,Jeddah,store,bronze,38,77.56,0.101,77.47,2582.38
100686,13 Oct 2024,2024-10-19,Jeddah,online,bronze,36,81.87,0.12,77.77,2592.18
103037,2024/10/31,2024-11-06,DAMMAM,phone,silver,14,36.4,,14.72,490.58
102842,11/22/2024,2024-11-28, Jeddah,phone,bronze,33,5.27,,4.02,133.96
103470,2024/08/28,2024-09-04,Tabuk,store,silver,23,16.64,0.124,10.04,334.72
100940,2024-04-15,2024-04-18,Riyadh,store,bronze,18,44.01,0.112,21.06,701.9
104395,10/01/2024,2024-10-14,Jeddah,online,gold,9,43.33,0.179,9.54,317.92
104023,2024-09-16,2024-09-23,riyadh,store,silver,34,21.58,0.178,18.21,607.11
101027,20 Aug 2024,2024-08-30,Tabuk,store,silver,17,20.11,0.396,6.08,202.58
101066,12 Mar 2025,2025-03-14,Tabuk,store,bronze,33,35.57,0.15,29.81,993.74
101534,10 Feb 2024,2024-02-16,DAMMAM,store,bronze,34,14.17,0.135,11.9,396.71
104832,2025/05/10,2025-05-21,Riyadh,phone,silver,33,165.19,,134.23,4474.45
103644,10/29/2024,2024-11-06,Riyadh,store,bronze,9,44.55,0.121,10.71,357.0
104875,19 Mar 2025,2025-03-29,Jeddah,online,bronze,22,33.17,0.13,19.3,643.47
103176,2024-08-30,2024-09-09,Riyadh,online,silver,18,38.07,,14.58,486.08
100955,2024-03-01,2024-03-09,Tabuk,store,silver,34,88.29,0.064,85.46,2848.52
102534,2024/10/17,2024-10-28,Riyadh,store,bronze,11,28.85,0.161,8.12,270.65
104018,2025-06-04,2025-06-06,Jeddah,store,bronze,31,97.06,,51.93,1730.84
102022,08/10/2024,2024-08-18,Riyadh,online,gold,24,204.46,0.211,116.32,3877.21
103079,10/06/2024,2024-10-17,Dammam,online,bronze,3,42.04,0.232,2.9,96.81
103884,8 Sep 2024,2024-09-17,Jeddah,online,bronze,33,103.58,0.181,84.0,2800.06
104117,2024/10/20,2024-10-25,JEDDAH,online,bronze,18,36.41,0.114,17.47,582.34
102286,2024-07-12,2024-07-13,Riyadh,store,gold,19,42.1,,17.07,568.88
103461,11/02/2024,2024-11-04,Jeddah,store,bronze,32,67.23,0.044,63.84,2127.96
100350,09/04/2024,2024-09-05,Riyadh,online,silver,31,113.18,0.224,81.19,2706.3
102928,2025/02/10,2025-02-16,Jeddah,online,bronze,21,51.04,0.035,30.92,1030.55
101043,5 Feb 2025,2025-02-17,dammam ,store,bronze,14,9.32,0.09,3.6,120.01
101980,19 Feb 2024,2024-03-02,Riyadh,store,silver,14,40.31,0.243,12.97,432.25
104003,2024/06/25,2024-06-29,Abha,online,silver,34,41.46,0.097,39.05,1301.69
104874,2024-06-11,2024-06-12,Jeddah,store,gold,24,17.73,0.153,10.87,362.23
102627,22 Apr 2024,2024-04-28, Jeddah,online,bronze,31,57.22,0.064,47.97,1599.07
101041,23 Mar 2025,2025-04-04,Riyadh,online,silver,1,69.93,0.232,1.62,53.95
102332,28 Feb 2024,2024-03-09,JEDDAH,online,gold,14,60.56,0.384,15.37,512.38
104722,02/05/2024,2024-02-13,Jeddah,store,gold,30,56.85,0.201,41.55,1384.94
100206,2024/07/13,2024-07-21,Riyadh,online,bronze,33,35.17,0.356,22.21,740.4
101281,2024-04-20,2024-05-01,Jeddah,phone,bronze,15,39.13,,16.46,548.74
102149,6 Nov 2024,2024-11-08,Dammam,online,silver,32,22.3,0.097,19.14,637.92
101181,2024-01-06,2024-01-19,Dammam,store,silver,36,36.63,0.155,32.61,1087.0
104203,2024/11/20,2024-11-30,Riyadh,phone,bronze,9,13.09,,3.11,103.62
101749,05/21/2025,2025-05-22,Jeddah,phone,silver,5,74.87,,8.52,283.84
101054,7 Sep 2024,2024-09-20,Riyadh,store,silver,34,21.39,0.178,17.79,592.91
100323,2024-10-29,2024-11-06,Riyadh,online,bronze,37,69.89,0.112,68.7,2289.97
100283,2025-03-14,2025-03-18,Riyadh,store,bronze,29,23.0,0.056,19.05,634.87
101662,2025/05/29,2025-06-06,Dammam,online,silver,34,132.72,0.083,122.08,4069.29
100007,03/23/2024,2024-03-24,Dammam,online,bronze,18,38.33,0.026,20.73,691.01
103191,11/20/2024,2024-11-22,Riyadh,online,silver,8,38.8,,5.98,199.24
101329,5 Oct 2024,2024-10-19,Riyadh,phone,bronze,11,36.29,,11.43,380.87
104563,2025-01-21,2025-01-27,riyadh,phone,bronze,31,27.55,,23.03,767.53
102538,2025-04-05,2025-04-06, Jeddah,online,silver,40,78.9,0.136,81.09,2703.16
103038,2024/06/03,2024-06-08,Riyadh,online,silver,8,31.84,0.144,6.69,223.08
100925,2025-05-22,2025-05-29,Riyadh,store,silver,28,21.88,0.241,13.83,460.89
102453,01/22/2025,2025-02-01,Dammam,store,silver,7,89.93,0.119,16.83,561.0
101690,2024/03/21,2024-03-29, Jeddah,online,bronze,12,59.35,0.086,18.83,627.63
101228,2025/05/27,2025-05-31,Jeddah,phone,bronze,11,32.15,,10.02,333.84
101316,04/19/2024,2024-05-03,Dammam,online,gold,33,44.7,0.169,36.61,1220.29
100616,2025/03/13,2025-03-15,Dammam,store,bronze,8,15.38,0.097,3.21,107.08
102675,2024/01/16,2024-01-23,Jeddah,store,silver,15,75.12,0.238,26.52,883.91
103443,07/22/2024,2024-07-27,Riyadh,online,gold,11,17.18,0.45,3.16,105.17
104217,11/03/2024,2024-11-04,Dammam,online,silver,34,17.93,,12.86,428.53
104393,06/21/2024,2024-07-03, Jeddah,phone,silver,32,272.64,,228.53,7617.77
100130,03/11/2024,2024-03-19,Jeddah,phone,bronze,12,42.66,,12.26,408.52
103857,2025/05/23,2025-05-25,Abha,online,bronze,32,41.81,,27.89,929.8
100915,18 Jul 2024,2024-07-26,TABUK ,phone,silver,31,18.79,,12.9,430.04
101235,10 Aug 2024,2024-08-15,Riyadh,store,gold,27,46.3,0.161,31.95,1065.09
100544,09/04/2024,2024-09-09,Tabuk,online,silver,27,35.21,0.103,25.74,858.03
100747,2024-04-01,2024-04-04,riyadh,store,bronze,15,53.69,0.195,19.45,648.35
100152,2025/04/05,2025-04-09,tabuk,store,silver,35,25.8,0.187,22.22,740.56
103740,06/27/2024,2024-07-06,JEDDAH,store,gold,7,41.57,0.243,6.56,218.8
101819,04/08/2024,2024-04-10,JEDDAH,store,gold,21,30.23,0.271,13.76,458.5
102481,07/26/2024,2024-08-04,Jeddah,store,bronze,22,21.63,0.127,12.56,418.81
102148,2024-10-10,2024-10-13,Tabuk,store,bronze,40,7.67,0.077,8.47,282.44
103485,10 Oct 2024,2024-10-23,Dammam,online,silver,18,9.62,0.127,4.48,149.17
101781,31 Mar 2025,2025-04-09,Riyadh,store,gold,38,37.25,0.202,34.47,1148.92
103819,02/19/2024,2024-02-23,Dammam,phone,silver,36,60.05,,53.72,1790.82
100659,29 Nov 2024,2024-12-02,Jeddah,online,bronze,23,28.98,0.083,19.17,638.88
102827,4 Sep 2024,2024-09-18,Jeddah,online,bronze,26,40.45,0.264,22.97,765.74
103091,2025-06-07,2025-06-12,Abha,store,bronze,38,16.16,0.228,13.7,456.72
103810,10/07/2024,2024-10-20,abha,phone,bronze,13,38.6,,14.21,473.65
103483,2024-06-15,2024-06-25,Abha,phone,silver,20,18.07,,9.96,331.88
101106,2024/07/26,2024-08-04,Dammam,online,bronze,14,26.78,0.053,10.84,361.42
100122,2024-08-06,2024-08-20,Dammam,online,silver,9,251.42,0.169,58.28,1942.67
101044,06/20/2025,2025-06-24,Dammam,online,silver,5,22.54,0.2,2.84,94.7
101458,10 Mar 2024,2024-03-14,Jeddah,online,bronze,3,196.6,0.055,16.44,547.98
101529,02/20/2024,2024-03-03,Riyadh,online,bronze,14,51.98,0.16,17.75,591.51
103334,2024-05-10,2024-05-24,Riyadh,store,gold,31,66.75,0.254,46.76,1558.54
101918,2024/03/01,2024-03-11,Dammam,phone,silver,20,44.64,,23.28,775.88
103133,2025/06/13,2025-06-23,Riyadh,online,silver,38,41.73,0.188,38.36,1278.64
102231,03/31/2025,2025-04-04,Riyadh ,phone,gold,29,15.33,,11.58,386.04
103592,2024/09/11,2024-09-15,riyadh,phone,bronze,29,83.23,,63.45,2114.98
100393,2024/02/14,2024-02-25,JEDDAH,online,bronze,27,13.29,0.186,8.82,293.94
100003,2024/04/15,2024-04-24,Abha,store,silver,22,300.92,,128.04,4268.07
100927,2025-01-02,2025-01-06,riyadh,store,silver,21,50.94,0.101,29.06,968.74
100491,06/07/2025,2025-06-13,Dammam,store,silver,16,43.04,0.09,18.76,625.21
103611,2024-02-02,2024-02-10,Dammam,online,bronze,33,21.27,,17.06,568.73
104822,10/30/2024,2024-11-03,Riyadh,online,silver,16,17.67,0.093,7.73,257.59
101693,2025-01-08,2025-01-11,Riyadh,online,gold,13,125.15,0.223,37.51,1250.4
102732,04/01/2024,2024-04-11,riyadh,online,bronze,13,53.01,,13.72,457.36
101692,06/18/2024,2024-06-29,Tabuk,phone,silver,34,52.32,,47.72,1590.52
103389,05/09/2025,2025-05-23,JEDDAH,online,silver,10,9.01,0.136,2.4,79.84
103175,2024-01-11,2024-01-15,DAMMAM,phone,silver,16,45.49,,14.4,480.03
101095,2024/06/12,2024-06-14, Jeddah,phone,silver,21,16.08,,7.57,252.45
102974,24 Feb 2025,2025-02-26,Tabuk,phone,silver,12,34.44,,9.88,329.29
101423,04/03/2024,2024-04-11,Jeddah,store,silver,30,93.26,0.11,75.58,2519.41
103460,2024-11-25,2024-12-07,abha,online,bronze,32,31.85,0.177,25.9,863.27
102979,02/25/2024,2024-02-29,dammam ,online,gold,38,32.47,0.258,26.81,893.83
100830,24 May 2024,2024-05-26,Riyadh,store,bronze,29,22.94,0.137,16.91,563.78
103821,2024/12/26,2024-12-31,Dammam,online,bronze,17,22.82,0.21,8.91,297.09
103381,03/19/2024,2024-03-28,Riyadh,store,gold,34,30.72,0.16,26.38,879.27
102969,2025/01/24,2025-02-07,Jeddah,online,silver,26,36.4,0.188,23.36,778.61
104490,2024/06/26,2024-07-06,JEDDAH,online,silver,31,15.13,0.134,11.71,390.33
102167,2024-09-23,2024-10-01,Tabuk,online,silver,40,45.85,0.153,46.8,1559.96
103564,2025-01-10,2025-01-16,Riyadh,phone,bronze,17,35.47,,15.51,516.84
101172,2025/02/26,2025-03-09,Dammam,store,silver,23,25.68,0.133,15.5,516.66
101004,2025-06-02,2025-06-15,Riyadh ,store,bronze,35,47.8,,31.82,1060.61
101101,04/15/2024,2024-04-23,Riyadh,online,silver,32,35.08,0.096,30.42,1014.01
102067,2025-01-05,2025-01-16,JEDDAH,online,bronze,9,139.14,0.169,32.77,1092.21
103633,06/06/2025,2025-06-13,Jeddah,store,bronze,39,41.58,,45.7,1523.45
102982,02/01/2025,2025-02-08,Riyadh,online,bronze,24,15.03,,6.64,221.32
100493,04/28/2025,2025-05-08,Dammam,phone,silver,18,44.55,,18.1,603.25
102879,06/25/2025,2025-07-07,Jeddah,online,bronze,22,110.54,0.074,69.21,2306.94
102916,2024/10/08,2024-10-10,riyadh,online,bronze,25,32.34,0.079,22.8,760.13
100590,24 Mar 2024,2024-03-31,Riyadh,store,silver,29,51.15,,33.56,1118.76
104676,19 Mar 2025,2025-03-28,Riyadh,store,bronze,7,66.61,0.198,11.22,373.97
103522,2024/01/24,2024-01-28,Abha,online,silver,23,50.17,0.203,27.67,922.31
103585,2024/09/17,2024-09-25,Tabuk,online,bronze,29,26.82,0.096,21.75,725.13
103232,2025/03/31,2025-04-02,Riyadh,online,gold,21,29.29,,13.31,443.56
100892,6 Jun 2025,2025-06-11,tabuk,online,gold,26,25.24,0.19,16.1,536.75
100157,04/20/2024,2024-05-01,Riyadh ,store,bronze,34,53.97,0.09,48.17,1605.72
101272,02/16/2025,2025-03-01,JEDDAH,online,silver,34,28.82,0.193,24.65,821.79
102378,02/05/2024,2024-02-12,DAMMAM,store,bronze,38,69.05,0.125,69.79,2326.36
104797,2024-04-10,2024-04-20,Riyadh,online,silver,5,37.39,0.151,4.87,162.35
104049,06/15/2024,2024-06-20,Jeddah,store,silver,3,27.61,0.358,1.56,52.13
104475,2025-04-23,2025-04-30,Jeddah,online,bronze,34,31.36,0.084,29.76,992.0
100305,18 Jul 2024,2024-08-01,Abha,store,silver,19,46.55,0.246,21.64,721.28
104281,11/04/2024,2024-11-08,Riyadh,store,gold,17,78.02,0.105,35.68,1189.33
101483,2024-11-08,2024-11-18,Jeddah,online,bronze,7,95.52,0.235,15.34,511.46
104323,2024/12/18,2024-12-31,Dammam,online,silver,11,26.89,0.241,6.5,216.63
103610,4 Mar 2025,2025-03-05,riyadh,store,bronze,17,42.92,0.062,20.34,678.14
103076,2024-01-09,2024-01-20,Tabuk,online,silver,12,119.02,0.147,37.28,1242.5
100881,2024-02-06,2024-02-11,Jeddah,store,bronze,27,60.96,0.085,45.45,1515.02
104616,2025-03-10,2025-03-17,Riyadh,online,bronze,1,28.83,0.172,0.71,23.73
100824,2024/03/29,2024-04-11,dammam ,online,bronze,21,27.53,0.137,14.71,490.25
103001,2025-05-24,2025-05-26,Abha,store,silver,17,14.4,0.17,6.04,201.36
101232,2024-12-09,2024-12-13,Jeddah,store,gold,9,68.46,0.114,16.84,561.47
101014,2024/06/06,2024-06-07,TABUK ,store,bronze,14,34.81,0.044,13.79,459.75
101616,04/05/2025,2025-04-12,Riyadh,online,bronze,25,89.53,0.045,62.18,2072.82
100114,2025/05/24,2025-05-31,Jeddah,online,gold,30,95.13,0.133,73.32,2444.03
101016,2024/12/28,2025-01-02,riyadh,online,silver,7,86.86,0.156,15.91,530.38
